0.4803,0.0571,0.0012,0.8752,0.125,-32.063,49.125,-0.4,0.25,-1.02,0.4866,0.2819,0.3946,0.7267,-0.125,20.688,51.813,-0.05,0.31,-0.09,0.7267,-0.209,-0.6185,-0.2138,40.063,-18.188,-2.9375,0.2,0.05,0.08
0.4615,0.0697,-0.0029,0.8844,11.375,-28.688,50.125,-0.41,0.2,-2.05,0.4664,0.2843,0.3959,0.7382,12.125,25.375,46.875,-0.22,0.31,0.01,0.7254,-0.2003,-0.6258,-0.205,38.563,-17,-1.875,0.23,0.01,0
0.4458,0.0781,-0.0022,0.8917,18.188,-14.188,51.563,-0.87,-0.16,-3.19,0.4507,0.283,0.4003,0.7461,10.688,33.188,40.375,-0.59,0.38,0.22,0.7241,-0.1915,-0.633,-0.196,37.625,-16.375,-2.5625,0.08,-0.17,0.01
0.433,0.0815,0.0017,0.8977,26.688,4.375,55.313,0.08,-0.26,-3.7,0.4418,0.2783,0.4023,0.752,-6.5625,37.313,27,-0.16,0.1,0.45,0.7232,-0.1829,-0.639,-0.1874,40.188,-11.313,-1.75,0.37,-0.04,-0.05
0.4148,0.0783,0.0055,0.9065,-4.25,20.313,60.188,-0.97,-0.31,-3.24,0.4318,0.2673,0.403,0.7614,-17.688,45.813,15.75,-0.64,-0.46,-0.06,0.7225,-0.1751,-0.6443,-0.1795,32.5,-7.125,-1,0.25,0.04,0.03
0.3916,0.0654,0.0074,0.9178,0.0625,35.438,59.938,-0.81,-1.27,-3.27,0.4235,0.2496,0.4061,0.7704,-14.188,49.063,3.0625,-0.62,-0.55,0.02,0.7229,-0.1683,-0.6476,-0.1724,29,-1.3125,1.75,0.32,0.23,-0.08
0.3748,0.0498,0.0109,0.9257,-5.375,53.25,51.688,-1.05,-1.64,-2.33,0.4193,0.2336,0.4111,0.775,-6.8125,49.938,-9.5,-0.6,-0.42,0.24,0.7245,-0.1627,-0.6488,-0.1661,24.188,0.25,4,0.29,0.09,-0.25
0.3615,0.0324,0.0174,0.9316,4.0625,57.25,44.063,-1.04,-1.67,-1.73,0.4163,0.2176,0.4194,0.7769,0.0625,51.375,-17.875,-0.47,-0.35,0.52,0.7267,-0.1586,-0.6488,-0.1607,18.063,6.875,6.1875,0.14,0.3,-0.08
0.352,0.0195,0.0248,0.9355,13.875,59.063,37.375,-0.97,-1.67,-1.39,0.4152,0.2054,0.4274,0.7763,7.125,51.188,-27.188,-0.72,0.21,0.83,0.729,-0.1558,-0.6479,-0.1564,14.75,7.1875,5.8125,0.14,0.02,-0.01
0.3414,0.0016,0.0377,0.9391,16.563,66.625,27.438,-1.03,-1.7,-0.93,0.4173,0.1891,0.4376,0.7736,3.125,47.438,-35.938,-0.58,0.61,1.19,0.7309,-0.1542,-0.6469,-0.1535,11.25,9.75,7.125,0.2,0.06,-0.13
0.3331,-0.0197,0.0494,0.9414,8.75,74.063,21.375,-1.18,-1.96,-0.25,0.4213,0.1703,0.4461,0.771,-3.75,46.313,-44.5,-0.8,0.08,1.01,0.7346,-0.1531,-0.6439,-0.1494,6.1875,12.688,9.25,0.32,0.21,-0.17
